Fundraising Round,Round,Date,Investors,Amount,Valuation,Description,Founder,Website,Project,Category,Sub-categories,Announcement,End date
IntoTheBlock - Seed,Seed,2020-09-25T00:00:00.000Z,"New Form
  Capital/Kenetic/gumi Cryptos/Borderless Capital",none,none,We are a data science company applying cutting-edge research in AI to deliver actionable intelligence for the crypto market,Alfredo Terrero,https://www.intotheblock.com/,IntoTheBlock,Web3,Data,none,none
Attestiv - Unknown,Unknown,2020-09-03T00:00:00.000Z,Borderless Capital,none,none,Verifying the authenticity of digital media and data for businesses,Nicos Vekiarides,https://attestiv.com/,Attestiv,Infrastructure,AI/Data,none,none
Bitski - Series A,Series A,2021-05-06T00:00:00.000Z,Andreessen Horowitz/Kindred Ventures/Galaxy Digital/Jay Brown/Scott Belsky/Dylan Field/Serena Williams/Jay-Z/Ari Emanuel/Mike Krieger/Troy Carter/3LAU/Night Ventures/Vanessa Pappas/John Robinson/Kevin Carter/Peter Sellis/Kayvon Beykpour/Metapurse,19000000,none,"Connects communities, creators and brands through unique, ownable digital content. This is how the metaverse begins.",Donnie Dinch/Julian Tescher/Steve Jang,https://www.bitski.com/,Bitski,NFTs,Collectibles,https://twitter.com/bitski/status/1390373880871587843?s=20,none
Hummingbot - Seed,Seed,2020-09-01T00:00:00.000Z,"Collider
  Ventures/Borderless Capital/1kx",1600000,none,Automate your cryptocurrency trading on centralized exchanges and decentralized protocols.,Michael Feng,https://hummingbot.io/,Hummingbot,CeFi,Trading/Automation,none,none
1World Online - Unknown,Unknown,2020-08-31T00:00:00.000Z,Borderless Capital,none,none,"It serves the entire web publishing enterprise. Websites will enjoy higher metrics of engagement; business teams will be able to better understand, profile, and monetize the audience; editors and journalists gain access to timely news content and can better target their stories, improving reader relationships",Alex Fedosseev,https://welcome.1worldonline.com/,1World Online,Web3,Enterprise/Media,none,none
Pocket Network - Seed,Seed,2020-07-07T00:00:00.000Z,Borderless Capital,none,none,A blockchain relay network for decentralized infrastructure and full node incentivization,Michael P O'Rourke,https://pokt.network/,Pocket Network,Infrastructure,Layer 1,none,none
Floating Point Group - Seed,Seed,2020-05-28T00:00:00.000Z,Steve Kokinos/Box One Ventures/Borderless Capital,2000000,none,"FPG is a platform to trade, manage, and settle cryptocurrency assets in a faster and more secure manner",Kevin March,https://www.floating.group/,Floating Point Group,CeFi,Trading,none,none
Blockdaemon - Unknown,Unknown,2020-05-12T00:00:00.000Z,SPiCE Venture Capital/Lerer Hippeau/Kenetic/Heavybit/Hashkey Capital/Fenbushi Capital/Comcast Ventures/CoinShares/Borderless Capital/Boldstart Ventures,none,none,A blockchain deployment facilitator that manages nodes and payment rails for blockchain networks,Konstantin Richter,https://blockdaemon.com/,Blockdaemon,Infrastructure,Layer 1,none,none
OTOY - Unknown,Unknown,2020-01-01T00:00:00.000Z,Borderless Capital,none,none,The future of holographic rendering is in the cloud. OTOY develops technology that delivers unlimited compute and rendering power to any app on any device,Matthew McClure,https://home.otoy.com/,OTOY,Web3,Cloud,none,none
BOSONIC - Unknown,Unknown,2020-01-01T00:00:00.000Z,Borderless Capital,none,none,Delivering infrastructure that's shaping the future of Digital Asset markets.,Rosario Ingargiola,https://bosonic.digital/,BOSONIC,Infrastructure,Layer 2,none,none
DeFiDollar - Unknown,Unknown,2021-05-06T00:00:00.000Z,Binance Labs,none,none, A stablecoin index backed asset designed to reduce volatility induced risk,Arpit Agarwal,https://dusd.finance/,DeFiDollar,DeFi,Stablecoins,none,none
UpShot - Series A,Series A,2021-05-06T00:00:00.000Z,"Framework
  Ventures/CoinFund/Blockchain Capital",7500000,none,"Our goal is to enable efficient and honest appraisals of NFTs — ensuring creators, collectors, and traders a robust and fairly valued marketplace.",Nick Emmons,https://upshot.io/,UpShot,NFTs,Marketplace/Curation,https://www.coindesk.com/upshots-nft-appraisal-protocol-nabs-7-5m-from-coinfund-framework,none
Burnt Finance - Seed,Seed,2021-05-06T00:00:00.000Z,"Injective Protocol/Multicoin Capital/Mechanism Capital/Solana Ecosystem Fund/Alameda
  Research",3000000,none,It provides an intuitive interface for minting new assets,Burnt Banksy,https://burnt.finance/,Burnt Finance,DeFi,Auction,https://www.coindesk.com/banksy-burners-raise-3m-to-build-nft-platform-on-solana,none
Daml - Series D,Series D,2021-04-21T00:00:00.000Z,7Ridge/Eldridge,120000000,none,"Build full-stack, distributed applications for DLT, Blockchain, or databases in days.",Yuval Rooz,https://daml.com/,Daml,Web3,Tooling/Data,none,none
Fuji DAO - Seed,Seed,2021-04-27T00:00:00.000Z,Maven 11  Capital/Spartan Group/Delphi Digital/Origin Capital,1250000,12000000,"Over the clouds you fly, as high as Fuji in the sky...",Edgar Moreau,https://fujiborrow.com/,Fuji DAO,DeFi,Lending/Borrowing/Aggregator,none,none
Babylon Finance - Seed,Seed,2021-03-04T00:00:00.000Z,Semantic Ventures/Joseph Young/DeFi Alliance/Harvest.finance/Meltem Demirors/Dialectic Capital/Tom Shaughnessy/Ryon Nixon/CoinList Seed/MapleLeafCap/Luis Cuende/Konstantin Lomashuk/Angel DAO/Cluster Capital/Block0,1900000,10000000,The first community-led asset management protocol,Ramon Recuero,https://www.babylon.finance/,Babylon Finance,DeFi,Asset management,https://medium.com/babylon-finance/announcing-babl-8f41b58c52c5,none
The Dapp List - Seed,Seed,2021-05-07T00:00:00.000Z,"CMS Holdings/LD Capital/YBB
  Foundation/AU21 Capital/Bitscale Capital/BR Capital/Double
  Peak/Momentum
  6/Genblock Capital/SL2
  Capital/MarketAcross/Sandeep Nailwal/Kenzi Wang/Gabby Dizon/Calvin Chu/Matt Batsinelas/Dhawal Shah/Chandresh Aharwar",1700000,none,A multi-chain ecosystem for curating the Web3 adoption,Nirbhik Jangid,https://thedapplist.com/,The Dapp List,Web3,DApp/Curation,https://medium.com/thedapplist/the-dapp-list-raised-1-7m-to-build-a-multi-chain-ecosystem-for-curating-web3-adoption-78a5008de251,none
Centrifuge - Unknown,Unknown,2021-02-23T00:00:00.000Z,"Galaxy Digital/IOSG Ventures/Rockaway Blockchain Fund/FinTech
  Collective/Moonwhale
  Ventures/Fenbushi Capital/HashCIB",4300000,none,"Bridging assets like invoices, real estate, and royalties to DeFi",Lucas Vogelsang,https://centrifuge.io/,Centrifuge,DeFi,Real world assets,https://medium.com/centrifuge/growing-with-galaxy-digital-and-iosg-ventures-dc2899f4cd2c?source=---------0-----------------------,none
Stratos - Seed,Seed,2021-05-08T00:00:00.000Z,"Fundamental Labs/Kenetic/Fenbushi Capital/Particle
  XYZ/Spark
  Digital Capital/Bixin Ventures/SNZ Holding/DFG (Dynamic Fintech Group)/Nothing Research",1830000,none,Building the next generation of decentralized data mesh for the blockchain industry globally,Bin Zhu,http://thestratos.org/,Stratos,Web3,Data,https://stratos-network.medium.com/stratos-closes-1-83m-seed-and-strategic-funding-round-to-build-the-decentralized-data-mesh-90b72a415b64,none
Solv Protocol - Seed,Seed,2021-05-08T00:00:00.000Z,"Spartan Group/Axia8
  Ventures/IOSG Ventures/Hashed/Krypital Group/GBV
  Capital/MapleLeafCap",1000000,none,The decentralized infrastructure for creating and trading Financial NFTs,Ryan Chow/Will Wang/Mike Meng,https://solv.finance/,Solv Protocol,NFTs,DeFi - NFTs,https://twitter.com/SolvProtocol/status/1390954522785161216?s=20,none
Stacked - Strategic,Strategic,2021-05-07T00:00:00.000Z,Motivate VC,none,none,Allowing you to manage your assets & instantly invest in pre-built portfolios and strategies from leading hedge funds and traders,Joel Birch,https://stackedinvest.com/,Stacked,DeFi,Trading,https://stackedcrypto.medium.com/stacked-adds-strategic-investors-to-let-everyone-in-crypto-invest-like-hedge-funds-9320db54af58,none
Element Market - Unknown,Unknown,2021-05-09T00:00:00.000Z,Dragonfly Capital/Susquehanna International Group/Draper Dragon/INCE Capital,11500000,50000000,"An open digital asset market that can help you create, discover, auction, purchase, and interact",none,https://element.market/,Element Market,NFTs,Trading/Curation,https://twitter.com/Element_Market/status/1390544935036755969?s=20,none
Arweave - Seed,Seed,2019-11-06T00:00:00.000Z,Union Square Ventures/Andreessen Horowitz/Multicoin Capital,5000000,none,"An information technology company that specializes in data storage, blockchain, and serverless web",Sam Williams,https://www.arweave.org/,Arweave,Web3,Data,none,none
Arweave - Unknown,Unknown,2020-03-05T00:00:00.000Z,Andreessen Horowitz/Coinbase Ventures/Multicoin Capital/Union Square Ventures,8300000,none,"An information technology company that specializes in data storage, blockchain, and serverless web",Sam Williams,https://www.arweave.org/,Arweave,Web3,Data,none,none
Kava - Unknown,Unknown,2020-08-21T00:00:00.000Z,"Framework
  Ventures",750000,none,Platform to securely access a robust suite of DeFi products and services in one safe and seamless integration,none,https://www.kava.io/,Kava,DeFi,Multi-products,https://www.coindesk.com/multi-chain-defi-protocol-raises-750k-in-token-sale-with-framework-ventures,none
Figure - Series C,Series C,2019-12-05T00:00:00.000Z,"Morgan
  Creek Digital/DCM Ventures/Digital Currency Group/HCM Capital/Ribbit Capital/RPM Ventures/DST Global",103000000,1200000000,"Provides consumer financial solutions intended for home improvement, debt consolidation, and retirement planning",Mike Cagney,https://figure.com/,Figure,CeFi,Debt,https://www.coindesk.com/pompliano-joins-board-of-blockchain-based-lending-firm-after-103m-raise,none
Klub - Seed,Seed,2021-05-10T00:00:00.000Z,"Tariq Krim/Ron Stolero/Owen Simonin/Moonwhale
  Ventures/Guillaume Lestrade/Cyril Paglino/BlackDragon Capital/Amnis Ventures/Alexandre Yazdi",10000000,none,"An exclusive wealth club, reimagined",Reda Berrehili,https://klub.ki/,Klub,CeFi,Savings,https://tech.eu/brief/paris-based-private-wealth-platform-klub-raises-10-million-builds-the-bridge-between-centralised-and-decentralised-finance/,none
ParaSwap - Extended Seed,Extended Seed,2021-05-10T00:00:00.000Z,Blockchain Capital/White Star Capital/DeFi Alliance/Andre Cronje/Michael Egorov/Fredrik Haga,3000000,none,It is a middleware layer connecting wallets and traders to digital assets.,Mounir Benchemled,https://paraswap.io/#/,ParaSwap,DeFi,Exchange/Aggregator,https://www.theblockcrypto.com/linked/104308/decentralized-exchange-dex-aggregator-paraswap-seed-extension,none
Hypersign - Unknown,Unknown,2021-05-10T00:00:00.000Z,"Twin Apex Capital/LD Capital/ExNetwork Capital/Rarestone Capital/Promoteus
  Labs/Solidity Ventures/AU21 Capital/Drops Ventures/GBIC (Global Blockchain Innovative Capital)/Jeco Capital/Moonwhale
  Ventures/Nabais
  Capital/NGC Ventures/Digital Currency Group/Master
  Ventures",1500000,none,Cross-chain identity protocol and whitelisting solution built on Polkadot & Ethereum,Vikram Anand Bhushan,https://hypersign.id/,Hypersign,Web3,Identity,https://medium.com/hypersign/hypersign-completes-the-venture-round-78b51a2397e1,none
Wilder World - Unknown,Unknown,2021-05-10T00:00:00.000Z,Spartan Group/Digital Currency Group/Animoca Brands/Republic Realm/Signum Capital,3000000,none,"Creating a world with the Epic Games’ Unreal Engine using a decentralized team, dubbed a decentralized autonomous organization",Frank Wilder,https://www.wilderworld.com/,Wilder World,NFTs,Metaverse,https://venturebeat.com/2021/05/10/wilder-world-raises-3-million-for-a-metaverse-built-around-nft-art/,none
NiiFi - Unknown,Unknown,2021-05-10T00:00:00.000Z,"DARMA Capital/A195 Capital/AU21 Capital/Blocksync
  Ventures/Lotus Capital/Matterblock/Moonwhale
  Ventures/Three M Capital",3000000,none,A decentralized exchange (DEX) being built on Nahmii – a layer two system for boosting Ethereum’s transaction capacity,Jacobo Toll-Messia,https://www.niifi.com/,NiiFi,DeFi,Exchange/Layer 2,https://medium.com/niifidao/niifi-closes-3m-private-seed-round-with-industry-leading-partners-848be35c2125,none
Sky Mavis - Series A,Series A,2021-05-11T00:00:00.000Z,"Libertus Capital/Collab+Currency/CMT Digital/Animoca Brands/MetaCartel Ventures/CoinGecko Ventures/Dialectic Capital/Hashed/500 Startups/DeFi Alliance/Free Company/Fabric Ventures/Mark Cuban/Alexis
  Ohanian/John Robinson/Gabby Dizon/Julien Bouteloup/Russell Lynde/Peter Park/Inar Zhang/Leo Cheng/Sebastien Borget/Adam Kornfield",7500000,none, A technology-focused game studio,Trung Nguyen,https://skymavis.com/,Sky Mavis,NFTs,Gaming,https://venturebeat.com/2021/05/11/sky-mavis-raises-7-5-million-for-nft-based-axie-infinity-game-with-backers-like-mark-cuban/,none
Bumper - Unknown,Unknown,2021-04-28T00:00:00.000Z,Alphabit Digital Currency Fund/Autonomy Capital/Beachhead Venture Capital/Chainlayer,10000000,none,"Protecting the value of your crypto using a radically innovative DeFi protocol. Set the price you want to protect and if the market crashes, your asset will never fall below that price. Importantly, if the market pumps, your asset rises too",Jonathan DeCarteret,https://landing.bumper.fi/,Bumper,DeFi,Security/Asset management,none,none
Moonstarter - Seed,Seed,2021-05-11T00:00:00.000Z,"AU21 Capital/Autonomy Capital/Moonwhale
  Ventures/A195 Capital/Lotus Capital/VYSYN Capital /BTX Capital/X21 Digital/Signal Ventures/Magnus Capital/Kardia Ventures/Blocksync
  Ventures/Genblock Capital/Metrix Capital/Blockpact Capital",1000000,none,​​Multi-chain IDO platform,none,https://moonstarter.net/,Moonstarter,DeFi,Funding,https://moonstarter.medium.com/list-of-our-partners-investors-b0da22ca8357,none
dotmoovs - Strategic,Strategic,2021-05-11T00:00:00.000Z,Morningstar Ventures/Moonrock Capital,840000,none,A peer-to-peer competition platform powered by blockchain and a state-of-the-art AI system to analyse videos of players performing sports challenges,Pedro Rente Lourenço,https://www.dotmoovs.com/,dotmoovs,Web3,Sports/AI,https://dotmoovs.medium.com/dotmoovs-announces-strategic-investors-and-partners-cd09b974015a,none
SubDAO - Strategic,Strategic,2021-04-23T00:00:00.000Z,"Huobi
  DeFi Labs/Hypersphere Ventures",none,none,A cross-chain platform built by SubDAO Labs to link DAO and DApp on Polkadot,none,https://subdao.network/,SubDAO,Web3,Governance/DApp,https://subdao.medium.com/updates-subdao-raises-investment-from-huobi-defi-labs-d6e5871897e5,none
Flipside Crypto - Unknown,Unknown,2019-09-24T00:00:00.000Z,Castle Island Ventures/Galaxy Digital,7100000,none,Community-enabled data analytics for DeFi & crypto projects,Dave Balter,https://www.flipsidecrypto.com/,Flipside Crypto,Web3,Data,https://www.coindesk.com/flipside-crypto-raises-7-1-million-to-give-token-projects-better-analytics,none
Bonfida - Seed,Seed,2020-12-15T00:00:00.000Z,"CMS Holdings/SinoGlobal Capital/Three Arrows Capital/Spartan Group/GBV
  Capital",4500000,none,A full-featured decentralized exchange on top of the Serum protocol,David Ratiney,https://bonfida.com/#/,Bonfida,DeFi,Exchange,none,none
Stratis - Unknown,Unknown,2021-02-01T00:00:00.000Z,Alphabit Digital Currency Fund,600000,none,Offering developers and businesses with a blockchain development platform to test and deploy blockchain-based applications. Businesses are able to build applications using C# and the Microsoft .NET Framework,Chris Trew,http://stratisplatform.com/,Stratis,Infrastructure,Tooling/APIs,none,none
Jenny - Unknown,Unknown,2021-05-12T00:00:00.000Z,"Multicoin Capital/Ascensive Assets/Animoca Brands/Metapurse/IOSG Ventures/Moonrock Capital/Spartan Group/Morningstar Ventures/3Commas/Spark
  Digital Capital/Vendetta
  Capital/Richard Ma/Santiago R. Santos/Neil Strauss/0xb1",7000000,none,A decentralized organization that will buy NFTs over time to grow a collection through the Unicly protocol,none,https://jennynft.io/,Jenny,NFTs,DAO/Metaverse,https://jennymetaverse.medium.com/jenny-metaverse-dao-pools-7m-to-support-unicly-launch-44f8c0af92e2,none
